Transaction Date,Deposited In,Receipt Mode,Cheque No/Reference/UTR #,Date,Drawn on which Bank?,Branch of Bank,Member Name,Wing,Flat,Receipt Type,Amount,Narration 
 01-01-2015 , SBI, cheque,1111,01-01-2015,Allahabad Bank,Sec-4,Anupam Tagore, A,101,M,1000,1 Receipt for jan
02-01-2015,SBI, neft,2222,02-01-2015,Allahabad Bank,Sec-5,B L Naik, A,102,O,2000,2 Receipt for jan
03-01-2015,SBI,pg,3333,03-01-2015,Allahabad Bank,Sec-6,B L Naik,A,103,M,3000,3 Receipt for jan
04-01-2015,SBI,cheque,4444,04-01-2015,Allahabad Bank,Sec-7,Anupam Tagore,A,104,M,4000,4 Receipt for jan
05-01-2015,SBI,neft,5555,05-01-2015,Allahabad Bank,Sec-8,B L Naik,A,105,O,5000,5 Receipt for jan
06-01-2015,SBI,pg,6666,06-01-2015,Allahabad Bank,Sec-9,B L Naik,B,201,M,6000,6 Receipt for jan
07-01-2015,SBI,cheque,7777,07-01-2015,Allahabad Bank,Sec-10,Anupam Tagore,A,101,M,7000,7 Receipt for jan
08-01-2015,SBI,neft,8888,08-01-2015,Allahabad Bank,Sec-11,B L Naik,A,102,O,8000,8 Receipt for jan
09-01-2015,SBI,pg,9999,09-01-2015,Allahabad Bank,Sec-12,B L Naik,A,103,M,9000,9 Receipt for jan
10-01-2015,SBI,,11110,10-01-2015,Allahabad Bank,Sec-13,Anupam Tagore,A,104,M,10000,10 Receipt for jan
11-01-2015,SBI,neft,12221,11-01-2015,Allahabad Bank,Sec-14,B L Naik,A,105,,11000,11 Receipt for jan
12-01-2015,SBI,pg,13332,12-01-2015,Allahabad Bank,Sec-15,B L Naik,,201,M,12000,12 Receipt for jan
13-01-2015,SBI,cheque,14443,13-01-2015,Allahabad Bank,Sec-16,Anupam Tagore,A,101,M,13000,13 Receipt for jan
14-01-2015,SBI,neft,15554,14-01-2015,Allahabad Bank,Sec-17,B L Naik,A,102,O,14000,14 Receipt for jan
15-01-2015,SBI,pg,16665,15-01-2015,Allahabad Bank,Sec-18,B L Naik,A,103,M,15000,15 Receipt for jan
16-01-2015,SBI,cheque,17776,16-01-2015,Allahabad Bank,Sec-19,Anupam Tagore,A,104,M,16000,16 Receipt for jan
17-01-2015,SBI,neft,18887,17-01-2015,Allahabad Bank,Sec-20,B L Naik,A,105,O,17000,17 Receipt for jan
18-01-2015,SBI,pg,19998,18-01-2015,Allahabad Bank,Sec-21,B L Naik,B,201,M,18000,18 Receipt for jan
19-01-2015,SBI,cheque,21109,19-01-2015,Allahabad Bank,Sec-22,Anupam Tagore,,101,M,,19 Receipt for jan
20-01-2015,SBI,neft,22220,20-01-2015,Allahabad Bank,Sec-23,B L Naik,A,102,O,20000,20 Receipt for jan
21-01-2015,SBI,pg,23331,21-01-2015,Allahabad Bank,Sec-24,B L Naik,A,103,M,21000,21 Receipt for jan
22-01-2015,SBI,cheque,24442,22-01-2015,Allahabad Bank,Sec-25,Anupam Tagore,A,104,M,22000,22 Receipt for jan
23-01-2015,SBI,neft,25553,23-01-2015,Allahabad Bank,Sec-26,B L Naik,A,105,O,23000,23 Receipt for jan
24-01-2015,SBI,pg,26664,24-01-2015,Allahabad Bank,Sec-27,B L Naik,B,201,M,24000,24 Receipt for jan
25-01-2015,SBI,cheque,27775,25-01-2015,Allahabad Bank,Sec-28,Anupam Tagore,A,101,M,25000,25 Receipt for jan
26-01-2015,SBI,neft,28886,26-01-2015,Allahabad Bank,Sec-29,B L Naik,A,,O,26000,26 Receipt for jan
27-01-2015,SBI,,29997,27-01-2015,Allahabad Bank,Sec-30,B L Naik,A,103,M,27000,27 Receipt for jan
28-01-2015,SBI,cheque,31108,28-01-2015,Allahabad Bank,Sec-31,Anupam Tagore,A,104,M,28000,28 Receipt for jan
29-01-2015,SBI,neft,32219,29-01-2015,Allahabad Bank,Sec-32,B L Naik,A,105,O,29000,29 Receipt for jan
30-01-2015,SBI,pg,33330,30-01-2015,Allahabad Bank,Sec-33,B L Naik,B,201,M,30000,30 Receipt for jan
