Posting Date,Date of invoice,Due Date,Party account head,Invoice Reference,Expense Head,Amount of invoice, Description 
05-07-2016,05-07-2016,05-07-2016,Reliance Fire Protection System,728,Fire & Safety expenses,65019,Purchase 1 Kg Fire Extingusher nos 60 for Scoiety Member-Bank Book/Jul/1
07-07-2016,07-07-2016,07-07-2016,Secure One Facility,044/HK,House keeping Charges,15410,Paid House Keeping Salary for June 2016-Bank Book/Jul/3
07-07-2016,07-07-2016,07-07-2016,Secure One Facility,039/SOS,Security Charges,39712,Paid Security Guard Salary  for June -Bank Book /Jul/4
05-07-2016,05-07-2016,05-07-2016,Chirag Home Appliances,N/A,Office Expenses,3120,Purchase 5 Chair & 1 Kg PP Bags-Bank Book /Jul/5
05-07-2016,05-07-2016,05-07-2016,Chirag Home Appliances,N/A,House keeping Charges,2990,Purchase House Keeping Maintanance-Bank Book /Jul/6
06-07-2016,06-07-2016,06-07-2016,Cidco Ltd,N/A,Water Charges ,24367,Paid Water Bill for May-June 2016 -Bank Book/Jul/8
10-07-2016,10-07-2016,10-07-2016,B.B.S Auto Eletrtrical,N/A,Power back & generator - R&M,6000,Purchase Battery for DG Set-Bank Book/Jul/10
12-07-2016,12-07-2016,12-07-2016,Prerana Enterprises,N/A,Electrical R&M,3434,Purchase Electric Maintanance -Bank Book/Jul/11
17-07-2016,17-07-2016,17-07-2016,Beutiful,837,Office Expenses,5800,Purchase 3 Seater M.S. Steel Banch from Butiful-Bank Book/Jul/12
29-07-2016,29-07-2016,29-07-2016,Bablu Jaiswal ,N/A,General Repairs & Maintenance,21000,"Terrace Door/Grill Work ,Parking Nos Painting - Bank Book/Jul/13"
01-08-2016,01-08-2016,01-08-2016,MSEDCL,29470820681,Electricity Expenses,16460,Paid Elelcticity Bill 029470820681 Jun-Jul 2016  -Bank Book/Aug/01
01-08-2016,01-08-2016,01-08-2016,MSEDCL,29470820673,Electricity Expenses,7930,Paid Elelcticity Bill 029470820673 Jun-Jul 2016  -Bank Book/Aug/02
01-08-2016,01-08-2016,01-08-2016,Pawan Eelctical Works,N/A,Electrical R&M,17800,Purchse 400 AMP Main Switch & Fitting Labor Charges  -Bank Book/Aug/03
01-08-2016,01-08-2016,01-08-2016,Pioneer Enterprises,N/A,Power back & generator - R&M,1688,1 Nos Power Supplier Charger - Bank Book/Aug/04
07-08-2016,07-08-2016,07-08-2016,Secure One Facility,N/A,Security Charges,38692,PaidSecurity Guard Salary for Jul 2016 - Bank Book/Aug/06
07-08-2016,07-08-2016,07-08-2016,Secure One Facility,N/A,House keeping Charges,15410,Paid House Keeping Salary for Jul 2016-Bank Book/Aug/7
07-08-2016,07-08-2016,07-08-2016,Housing Matters Society Pvt Ltd,N/A,Accounting Charges,9288,Housing Matters Solution & Service Pvt Ltd for Accounting  Service Charges -Bank Book/Aug/09
10-08-2016,10-08-2016,10-08-2016,Transcreek Engineer Pvt Ltd,N/A,Power back & generator - R&M,28751,Transcreek Engineer Pvt Ltd DG Amc Renewed 01-07-2016 to 30-06-2017 -Bank Book/Aug/10
02-08-2016,02-08-2016,02-08-2016,Cidco Ltd,U21/PLT/0743071,Mun Corp / Town Plan levies & charges,30770,Paid Service Charges to Cidco Ltd -Bank Book/Aug/11
